AuthorId,BookId,BestSeller
61105,900821,True
3362,920783,True
5086768,958347,True
1077326,943346,True
311467,994192,True
6785,993176,False
23793,988106,False
2331,928044,True
2331,928045,True
216562,985784,False
1825,970917,True
30913,944288,True
9950,944986,True
9950,953836,True
6039100,934713,True
4129841,964685,False
54493,959087,False
17061,954672,True
8075577,943887,False
6281688,978479,True
6281688,937458,True
1406384,934301,True
566,970060,True
1049,957516,False
3389,963652,False
3389,920669,True
3389,995103,True
3389,924762,True
3389,957839,True
3389,963070,True
346732,985873,True
346732,985872,True
346732,985870,True
3706,961720,True
3780,952769,True
3780,955157,True
93353,909281,False
93353,903072,False
93353,909278,False
1630,941662,True
1630,970649,True
1630,981778,True
188932,993455,True
7580975,965377,False
1439,944767,True
591748,926799,True
3447,997354,True
3447,940666,True
3447,967724,True
3447,940664,True
24556,951250,True
721,933372,False
721,976010,True
721,933371,True
721,931362,True
798,984616,True
798,944956,False
3190,905668,True
3190,915426,True
3190,957924,True
2121,923381,True
569,992052,True
630,970381,True
630,998877,True
1244,978472,True
1244,981388,True
1244,924742,True
1244,924214,True
1244,954476,True
1063732,919538,False
1063732,933335,False
2383,943381,True
8719,989265,True
